Iterations;Entropy;GEL;GLL;M-SVM Weston;M-SVM Lee;Surrogate Hinge;Surrogate Hinge Squares;Surrogate Squares
192500;0,884560034;0,879523024;0,883737661;0,880756579;0,874074832;0,867495894;0,860197365;0,861019731
193000;0,882606909;0,879488761;0,884046055;0,880345397;0,874074832;0,866776317;0,858449832;0,860402957
193500;0,884971216;0,879591557;0,884560034;0,881167762;0,873046875;0,867598683;0,860094577;0,861019731
194000;0,884560034;0,880448192;0,884868421;0,883326478;0,873149678;0,868832231;0,859169409;0,862356082
194500;0,884560034;0,880756579;0,885382399;0,882504113;0,874383226;0,869037822;0,85824424;0,86215049
195000;0,88558799;0,88051672;0,885176808;0,881887339;0,874486014;0,867598683;0,859683394;0,860814139
195500;0,881476149;0,880722314;0,886410363;0,881578945;0,874177635;0,867701486;0,858861014;0,861430928
196000;0,883120887;0,880550988;0,885382399;0,881887339;0,874383226;0,865851149;0,859683394;0,861842111
196500;0,884560034;0,880688046;0,884560034;0,8828125;0,874691606;0,865851149;0,858449832;0,859580591
197000;0,885896385;0,880859378;0,884662829;0,884148851;0,873766452;0,866365135;0,858655423;0,860300168
197500;0,886307567;0,880379659;0,884560034;0,882298522;0,874280423;0,867393091;0,859888986;0,861636519
198000;0,884457238;0,87969435;0,884868421;0,881476149;0,872738481;0,866981909;0,860094577;0,860814139
198500;0,883737661;0,879009046;0,883223683;0,880139805;0,873663649;0,867290303;0,859786183;0,860608548
199000;0,884148851;0,879523024;0,885074012;0,881167762;0,872327298;0,8671875;0,859169409;0,859888986
199500;0,884560034;0,878769189;0,88353207;0,880139805;0,872635692;0,867084697;0,859375;0,861019731
200000;0,885896385;0,879283167;0,884251647;0,881476149;0,872121707;0,867393091;0,859786183;0,860608548
200500;0,883737661;0,879351703;0,884560034;0,880345397;0,873149678;0,86831826;0,859991774;0,860608548
201000;0,885690786;0,879523024;0,884354442;0,881270558;0,872944072;0,868215457;0,858038649;0,860608548
201500;0,885690786;0,880002742;0,884046055;0,881887339;0,874074832;0,868009865;0,859991774;0,858655423
202000;0,884560034;0,87966009;0,884354442;0,880242601;0,874383226;0,866879106;0,858552635;0,859683394
202500;0,883737661;0,878632126;0,882709704;0,879728615;0,873458058;0,86605674;0,858758226;0,860300168
203000;0,884354442;0,878460797;0,883223683;0,879420228;0,872738481;0,867084697;0,858861014;0,861533716
203500;0,883223683;0,879420233;0,884354442;0,879934214;0,873972043;0,866673514;0,859477803;0,861430928
204000;0,882504113;0,87890625;0,882915296;0,880756579;0,873046875;0,8671875;0,857113481;0,860711351
204500;0,884046055;0,879660087;0,883018091;0,882298522;0,873663649;0,866365135;0,859991774;0,861533716
205000;0,882401317;0,878426534;0,882504113;0,881476149;0,871299341;0,866467923;0,859991774;0,859786183
