Iterations;Entropy;GEL;GLL;M-SVM Weston;M-SVM Lee;Surrogate Hinge;Surrogate Hinge Squares;Surrogate Squares;Surrogate Saturated Hinge;Surrogate Exponential;Surrogate Sigmoid;M-SVM Crammer
21000;0,69122636;0,40193256;0,732576069;0,497744914;0,627158716;0,750034263;0,670435851;0,745751098;0,100020587;0,215871722;0,099746446;0,165244669
21500;0,768092107;0,434621714;0,69184313;0,5202444;0,711065993;0,748972043;0,699184487;0,696648846;0,099969149;0,191766024;0,099712173;0,186420649
22000;0,687294412;0,520405017;0,734709092;0,521195267;0,615439974;0,733552635;0,693941891;0,687842652;0,099660784;0,111996293;0,10029467;0,142372549
22500;0,692768298;0,468801394;0,732164882;0,513986684;0,690635279;0,785430372;0,706037561;0,709121441;0,099249601;0,171566635;0,100157619;0,162212163
23000;0,738641042;0,500102788;0,726074211;0,524317685;0,712659329;0,775390625;0,74602522;0,68352522;0,099969149;0,241724908;0,109340727;0,132452697
23500;0,749126233;0,475534543;0,746247947;0,539139597;0,695903577;0,751336346;0,753323739;0,71477522;0,100123346;0,287109375;0,099232455;0,185649663
24000;0,736199629;0,313322365;0,74247019;0,499691612;0,659693658;0,71402138;0,740234365;0,737904335;0,099712163;0,10490337;0,099677901;0,206774265
24500;0,710860398;0,368369654;0,73578845;0,498265318;0,748380963;0,728104432;0,735265896;0,755619526;0,09986636;0,196597457;0,099849244;0,178042769
25000;0,716488492;0,341282897;0,747712784;0,497526473;0,726254113;0,754625817;0,772101154;0,77388295;0,100277573;0,13060239;0,100089093;0,184621722
25500;0,70600329;0,503160983;0,687500004;0,506366935;0,725174755;0,744654606;0,737732997;0,758908992;0,100174755;0,127826899;0,099986295;0,128803462
26000;0,758583471;0,493086956;0,755730882;0,54079718;0,718158931;0,766413103;0,747498632;0,739274944;0,100585938;0,140830606;0,100466013;0,155787408
26500;0,738615334;0,574038848;0,753880553;0,563765677;0,734837581;0,753734921;0,745065793;0,731393923;0,099712193;0,145867616;0,099643628;0,188527972
27000;0,738512542;0,676834911;0,730211761;0,57623612;0,740491368;0,77696683;0,737321824;0,748595124;0,100277573;0,158305913;0,100226144;0,159385264
27500;0,761307564;0,602461971;0,73900082;0,579223639;0,727539055;0,781215732;0,698499178;0,76254112;0,099969178;0,158665717;0,099883517;0,214124203
28000;0,739309203;0,566894524;0,770867597;0,567170788;0,761538856;0,796258226;0,748629391;0,776452849;0,100020558;0,13615337;0,100500266;0,191611826
28500;0,717979029;0,602667566;0,733295642;0,557726414;0,73997739;0,742735744;0,749143367;0,789610744;0,100277543;0,157997519;0,099712173;0,176963419
29000;0,736893509;0,608604021;0,770533513;0,5748291;0,690686673;0,773917213;0,728686949;0,759697095;0,100328952;0,129111856;0,100466013;0,183285356
29500;0,750565376;0,42871093;0,736996297;0,526958263;0,761256166;0,771895553;0,759560034;0,745100046;0,100071937;0,179944485;0,100328942;0,191560447
30000;0,747532893;0,502004515;0,734760486;0,536666064;0,725303248;0,754625822;0,762815242;0,751439144;0,09986636;0,250256985;0,100534538;0,16236636
30500;0,753674962;0,522897817;0,77965666;0,569400183;0,741288032;0,783854167;0,775219301;0,775870343;0,099814951;0,300575674;0,100260417;0,221371293
31000;0,72219367;0,568153773;0,756476149;0,552734375;0,737022001;0,76254112;0,764802635;0,780598958;0,099660754;0,311831832;0,100568791;0,164113909
31500;0,763491985;0,468081825;0,73930921;0,540006938;0,768015005;0,77494518;0,771655704;0,789576481;0,100123376;0,337993413;0,099986315;0,189144731
32000;0,752441406;0,560444072;0,734272208;0,562442179;0,768092103;0,782929003;0,756304825;0,770148034;0,100071937;0,220805943;0,100089093;0,202611029
32500;0,749383222;0,531892471;0,770816207;0,562429325;0,760202505;0,77073054;0,772032619;0,772992055;0,100277543;0,308233947;0,100089073;0,197625399
33000;0,739180714;0,619603202;0,735557154;0,572798878;0,758917555;0,768057843;0,784745067;0,763466284;0,100226164;0,322728217;0,100123366;0,196854442
33500;0,725508835;0,6330695;0,770353623;0,57335141;0,739180714;0,759148851;0,787589088;0,795401588;0,100534529;0,377467096;0,099952042;0,164473683
34000;0,752030224;0,673725326;0,763594776;0,598761302;0,764776927;0,760039752;0,75856634;0,790844301;0,099660784;0,414987654;0,10029467;0,205694884
34500;0,730648644;0,678402551;0,751310647;0,587196749;0,716077302;0,76990817;0,770387888;0,768880213;0,099609375;0,191714644;0,099986275;0,188425154
35000;0,785721626;0,680252876;0,768837377;0,602558339;0,740362875;0,779982184;0,766138986;0,761273305;0,099763572;0,282791942;0,10029467;0,175421476
35500;0,762207028;0,50346937;0,748972036;0,555676914;0,724480879;0,759457236;0,731907899;0,784470941;0,099455208;0,307051808;0,099883497;0,208059222
36000;0,765445106;0,491596408;0,740208678;0,538285105;0,749177631;0,778268913;0,774225598;0,788377196;0,100277573;0,323499173;0,099266728;0,155890226
36500;0,764802627;0,552862868;0,732164893;0,560077871;0,754291736;0,794270833;0,801569348;0,797423244;0,099712193;0,208778769;0,100363215;0,190481097
37000;0,769428454;0,52163858;0,746119447;0,554873819;0,741519328;0,766995614;0,764871155;0,785053452;0,100277543;0,143760294;0,100123346;0,182308793
37500;0,713558797;0,475046247;0,748946335;0,524799548;0,744423319;0,809998632;0,789268091;0,787897478;0,100123346;0,209703952;0,100466013;0,161646813
38000;0,774825245;0,549239319;0,753649257;0,571636007;0,685109988;0,786766728;0,802871436;0,782963271;0,09986636;0,228310049;0,103104452;0,208830208
38500;0,733244248;0,559750211;0,719135486;0,557077515;0,740414273;0,792865957;0,802768643;0,794544955;0,10043177;0,278166115;0,128666401;0,216180116
39000;0,738384049;0,611687914;0,758686271;0,577508224;0,768297698;0,778714364;0,786561127;0,797731633;0,099814951;0,401367188;0,099369506;0,201274663
39500;0,763517678;0,524388373;0,762464024;0,55646074;0,7449116;0,802186132;0,783888429;0,789679274;0,099455178;0,349814951;0,099643648;0,175472885
40000;0,787109375;0,525005136;0,771381579;0,571449674;0,744474713;0,770148029;0,779331138;0,803351149;0,099557966;0,227230668;0,110574285;0,202302605
40500;0,750385489;0,522512347;0,764160153;0,55739875;0,73766448;0,794099505;0,77141585;0,805132945;0,099969149;0,20872739;0,100260417;0,19253701
41000;0,754317436;0,578895971;0,76143606;0,573659794;0,666760899;0,79176946;0,801912005;0,804447641;0,10043174;0,294048101;0,10005482;0,199989706
41500;0,721525498;0,395225115;0,773540296;0,523341125;0,70934416;0,797012061;0,798656796;0,802323192;0,099403769;0,175524265;0,100500286;0,203073591
42000;0,763132192;0,43459601;0,737433184;0,525705435;0,746119451;0,787452032;0,802974234;0,788856904;0,100071967;0,228001624;0,100568791;0,167660356
42500;0,744628903;0,333650284;0,751387753;0,50008995;0,757478416;0,802151869;0,779536734;0,777652135;0,100123376;0,234991789;0,156078676;0,170692861
43000;0,710577719;0,366210923;0,776238695;0,51176372;0,724712174;0,795333058;0,779159814;0,785635963;0,099969149;0,199013144;0,099849244;0,194027543
43500;0,746787615;0,446520351;0,788265832;0,546444537;0,776469979;0,786561132;0,807325929;0,779673795;0,099969178;0,210577697;0,09954083;0,204204351
44000;0,75447163;0,527061053;0,786543999;0,559808026;0,680304274;0,79680647;0,792043587;0,813630755;0,099969178;0,213096231;0,09916393;0,171155423
44500;0,734888982;0,575272419;0,752981085;0,562660622;0,741622124;0,813459426;0,791186949;0,812328671;0,100226164;0,158922702;0,099986315;0,1875
45000;0,766601566;0,578741774;0,763517682;0,582018403;0,764365748;0,808114037;0,802802905;0,795675715;0,100791544;0,166324019;0,099917769;0,219212592
45500;0,782123763;0,581234571;0,772563737;0,585545591;0,752467107;0,793003023;0,789919128;0,784025495;0,099814981;0,188682169;0,123252471;0,206260294
46000;0,767552432;0,666658096;0,785695925;0,60706851;0,726177018;0,790638705;0,791906521;0,786012888;0,099660784;0,243266851;0,105194648;0,208367586
46500;0,761410359;0,624023441;0,76665296;0,588623046;0,742033303;0,787931745;0,789405152;0,804584702;0,100071967;0,269274265;0,100020568;0,202405423
47000;0,742290292;0,679995887;0,777626436;0,596878851;0,734580584;0,783340186;0,784265349;0,80461897;0,100071937;0,397769332;0,099609375;0,187602788
47500;0,767141242;0,714946546;0,790681537;0,621749071;0,749100532;0,800746982;0,772580872;0,779913654;0,09986636;0,222913235;0,099814971;0,214226961
48000;0,749922905;0,733783919;0,778423112;0,608128601;0,761358969;0,80108964;0,799102247;0,796121165;0,099969149;0,136564553;0,099335253;0,170384467
48500;0,796361022;0,343184628;0,740003079;0,516929224;0,726074226;0,810067157;0,79718339;0,80852522;0,100226134;0,304173529;0,10005484;0,188168168
49000;0,77937397;0,468493007;0,783794202;0,561240747;0,715897407;0,782826205;0,799581965;0,813048249;0,100791544;0,35824424;0,099129637;0,213301808
49500;0,759585735;0,56291119;0,760382403;0,569265267;0,752158716;0,803111295;0,79882813;0,801740676;0,099814951;0,208059222;0,099986295;0,19418174
50000;0,808670845;0,478849709;0,776007406;0,566933078;0,76359478;0,804893091;0,763466284;0,800678452;0,099609375;0,350740135;0,100294709;0,204204351
50500;0,800986841;0,569515824;0,764237255;0,578362715;0,763826061;0,778337444;0,811711898;0,807188869;0,100123346;0,132658303;0,099609375;0,178710938
51000;0,770867601;0,547954366;0,783254523;0,564337482;0,755628087;0,791084155;0,809827303;0,778029059;0,100071967;0,198036611;0,099952022;0,155273438
51500;0,783357319;0,431023859;0,765111025;0,54287881;0,74509149;0,784847861;0,800986841;0,766001915;0,099763572;0,199321538;0,167249163;0,192023039
52000;0,773617391;0,477384877;0,772358146;0,551597196;0,754214641;0,803111295;0,789747809;0,788856909;0,09935239;0,145199418;0,09991775;0,18302837
52500;0,773154814;0,534025494;0,782791942;0,570511667;0,755088411;0,797800168;0,802425986;0,816166391;0,100020558;0,361533731;0,100260397;0,192074418
53000;0,770379312;0,557334501;0,775519121;0,577000666;0,73902652;0,792626098;0,800130213;0,810958058;0,100071937;0,359117985;0,099472304;0,204769731
53500;0,77965666;0,542429075;0,795847043;0,578067179;0,733167145;0,807325934;0,810169955;0,820106909;0,099814981;0,292454749;0,100260437;0,194335938
54000;0,797363278;0,634225946;0,760665093;0,595760944;0,761487454;0,794236566;0,802939966;0,802220394;0,099969178;0,274928063;0,099814971;0,190789461
54500;0,766832847;0,650210735;0,736893509;0,587376644;0,778114725;0,801637883;0,794442157;0,794510692;0,10043174;0,308696538;0,100363195;0,195569485
55000;0,774234168;0,542994455;0,775107939;0,574096686;0,727025088;0,798142816;0,80859375;0,796326757;0,100071967;0,307720006;0,10043174;0,204050183
55500;0,794741981;0,605391659;0,780247737;0,592934062;0,758866161;0,783237393;0,807325929;0,810958063;0,10043177;0,147049755;0,10043174;0,191354871
56000;0,786646795;0,479903385;0,785464637;0,554212068;0,756527547;0,788445721;0,792763154;0,8168517;0,100071937;0,141858548;0,099780719;0,164833456
56500;0,784642272;0,514108747;0,764519941;0,556524978;0,750179891;0,785053457;0,815138429;0,809313322;0,100020558;0,256013572;0,099677901;0,162828952
57000;0,767886512;0,566431955;0,766036186;0,573608401;0,722270764;0,788514252;0,807188869;0,804721768;0,100071967;0,332442433;0,103344301;0,194078952
57500;0,773360405;0,600997128;0,76590769;0,582262545;0,680792563;0,78433388;0,807291667;0,809484651;0,100123346;0,304893106;0,100671609;0,188784957
58000;0,756990131;0,578073595;0,784462374;0,57323576;0,787237875;0,794682016;0,80941612;0,811369245;0,100585938;0,264699847;0,180544138;0,173416942
58500;0,778243214;0,609606292;0,768888775;0,585468493;0,700632196;0,791324015;0,812979718;0,818462173;0,100483149;0,279862255;0,174102247;0,185135692
59000;0,772563737;0,536132816;0,78256065;0,567980317;0,717130963;0,803282624;0,807839915;0,801466559;0,100071967;0,224763572;0,099883517;0,180664063
59500;0,765830595;0,587916333;0,782226566;0,583631019;0,747044619;0,786115676;0,820038378;0,78913103;0,099506587;0,298159957;0,100534538;0,198550582
60000;0,803531043;0,646407284;0,777960524;0,612433184;0,739591904;0,805783997;0,819250276;0,79221491;0,099557966;0,313939154;0,100328942;0,221833885
60500;0,777369447;0,647974923;0,748098273;0,596686113;0,772563733;0,798896655;0,79605263;0,80040433;0,09935239;0,419150919;0,100397468;0,213301808
61000;0,787057981;0,683696549;0,771715667;0,61458548;0,731136926;0,797937224;0,809553181;0,813802083;0,099814981;0,335886091;0,099712173;0,215871722
61500;0,775827508;0,671206825;0,773977179;0,602847455;0,752826892;0,781387061;0,798656796;0,78937089;0,100226134;0,33480674;0,100157619;0,190378308
62000;0,797080591;0,501747523;0,793354232;0,572721774;0,758197982;0,820518091;0,809381853;0,810204223;0,10043174;0,150699019;0,099883497;0,198704749
62500;0,781121504;0,555124387;0,79009046;0,584883835;0,748303868;0,799342106;0,804687495;0,814110473;0,100174755;0,339483976;0,100020568;0,21319899
63000;0,79196649;0,602410577;0,773900081;0,593107523;0,759225946;0,791392545;0,810375551;0,81918174;0,100534529;0,234888971;0,099917769;0,204152942
63500;0,784719367;0,64265522;0,777086761;0,603374283;0,777883429;0,806537827;0,802014798;0,826103345;0,099712163;0,28685239;0,100089073;0,209035784
64000;0,74031147;0,658999797;0,781481292;0,590775338;0,770379316;0,795435851;0,805235744;0,808765079;0,09986639;0,349917769;0,160704494;0,182308793
64500;0,791118417;0,694849916;0,759482943;0,610139542;0,793893911;0,813596492;0,819284543;0,817742601;0,099763572;0,290039063;0,128837725;0,195106894
65000;0,75691304;0,719006985;0,765265212;0,609998201;0,783742804;0,798005755;0,820929274;0,810341284;0,099712193;0,285875827;0,099609375;0,198807567
65500;0,760433801;0,656712584;0,776444282;0,601478978;0,762232728;0,783785636;0,81880482;0,803145563;0,099814981;0,273591697;0,099506597;0,212325245
66000;0,787957441;0,729543585;0,802657276;0,630178347;0,778140418;0,797594572;0,810238491;0,808388159;0,099917769;0,253803432;0,100123346;0,200555086
