Itérations;crammer;cross_entropy;GEL;GLL;Hinge;Lee;surrogate_hinge;surrogate_hinge_squares;surrogate_squares
190500;0,1687911153;0,8862047717;0,8796600848;0,8856907859;0,8790090457;0,8742804229;0,8677014858;0,859991774;0,8622532934
191000;0,1684827209;0,885382399;0,8810649663;0,8865131587;0,8813733533;0,875308387;0,8677014858;0,860711351;0,8611225337
191500;0,1655016541;0,8856907859;0,8800370047;0,8832236826;0,8819901347;0,8748971969;0,8667763174;0,8584498316;0,861944899
192000;0,1707442403;0,8868215457;0,8807565793;0,8842516467;0,8828125;0,8752055913;0,867804274;0,8603001684;0,8624588847
192500;0,1716694236;0,8845600337;0,879523024;0,8837376609;0,8807565793;0,8740748316;0,8674958944;0,8601973653;0,8610197306
193000;0,1647820473;0,8826069087;0,8794887612;0,8840460554;0,8803453967;0,8740748316;0,8667763174;0,8584498316;0,8604029566
193500;0,1667351723;0,8849712163;0,8795915569;0,8845600337;0,881167762;0,873046875;0,8675986826;0,8600945771;0,8610197306
194000;0,1695106626;0,8845600337;0,8804481924;0,8848684207;0,8833264783;0,8731496781;0,8688322306;0,8591694087;0,8623560816
194500;0,1710526347;0,8845600337;0,8807565793;0,885382399;0,882504113;0,874383226;0,8690378219;0,8582442403;0,8621504903
195000;0,1723889709;0,8855879903;0,8805167203;0,8851768076;0,8818873391;0,8744860142;0,8675986826;0,8596833944;0,8608141392
195500;0,1721833944;0,881476149;0,8807223141;0,886410363;0,8815789446;0,8741776347;0,8677014858;0,8588610142;0,8614309281
196000;0,1716694236;0,883120887;0,880550988;0,885382399;0,8818873391;0,874383226;0,865851149;0,8596833944;0,8618421108
196500;0,1716694236;0,8845600337;0,8806880464;0,8845600337;0,8828125;0,8746916056;0,865851149;0,8584498316;0,8595805913
197000;0,1676603556;0,8858963847;0,8808593775;0,8846628293;0,884148851;0,8737664521;0,8663651347;0,8586554229;0,8603001684
197500;0,171875;0,8863075674;0,8803796594;0,8845600337;0,8822985217;0,8742804229;0,8673930913;0,8598889858;0,8616365194
198000;0,1670435667;0,884457238;0,8796943501;0,8848684207;0,881476149;0,8727384806;0,8669819087;0,8600945771;0,8608141392
198500;0,1682771444;0,8837376609;0,8790090457;0,8832236826;0,8801398054;0,873663649;0,8672903031;0,8597861826;0,8606085479
199000;0,169921875;0,884148851;0,879523024;0,885074012;0,881167762;0,8723272979;0,8671875;0,8591694087;0,8598889858
199500;0,1696134806;0,8845600337;0,8787691891;0,8835320696;0,8801398054;0,8726356924;0,8670846969;0,859375;0,8610197306
200000;0,0994037986;0,8858963847;0,8792831674;0,8842516467;0,881476149;0,8721217066;0,8673930913;0,8597861826;0,8606085479
200500;0,1710526347;0,8837376609;0,8793517028;0,8845600337;0,8803453967;0,8731496781;0,8683182597;0,859991774;0,8606085479
201000;0,1690995097;0,8856907859;0,879523024;0,8843544424;0,8812705576;0,8729440719;0,8682154566;0,858038649;0,8606085479
201500;0,1646792889;0,8856907859;0,880002742;0,8840460554;0,8818873391;0,8740748316;0,8680098653;0,859991774;0,8586554229
202000;0,1713610291;0,8845600337;0,8796600898;0,8843544424;0,880242601;0,874383226;0,8668791056;0,8585526347;0,8596833944
202500;0,1692023277;0,8837376609;0,8786321258;0,8827097043;0,8797286153;0,8734580576;0,8660567403;0,858758226;0,8603001684
203000;0,166118443;0,8843544424;0,8784607972;0,8832236826;0,8794202283;0,8727384806;0,8670846969;0,8588610142;0,8615337163
203500;0,1730057597;0,8832236826;0,8794202333;0,8843544424;0,8799342141;0,8739720434;0,8666735142;0,8594778031;0,8614309281
204000;0,1706414223;0,882504113;0,87890625;0,8829152957;0,8807565793;0,873046875;0,8671875;0,8571134806;0,860711351
204500;0,169921875;0,8840460554;0,8796600873;0,8830180913;0,8822985217;0,873663649;0,8663651347;0,859991774;0,8615337163
205000;0,1697162986;0,8824013174;0,8784265344;0,882504113;0,881476149;0,8712993413;0,8664679229;0,859991774;0,8597861826
