Iterations	Crammer (2 passages)	cross_entropy (4 passages)	GEL ( 4)	GLL (4)	Hinge (4)	Large_margin (m=1, 5 passages)	Large_margin (m=4, 1 passage)	Lee (4)	surrogate_double_hinge (2)	surrogate_exponential (2)	surrogate_hinge (3)	surrogate_hinge_squares (3)	surrogate_sigmoid (3)	surrogate_squares (3)
15500	0,1380037069	0,6844932139	0,410516046	0,6230982728	0,4640278099	0,6419202268	0,6312705576	0,6739566177	0,1003803611	0,132761091	0,6376781861	0,5565378269	0,1000205676	0,6982593139
16000	0,1586656868	0,6736996248	0,4744808823	0,6565069854	0,4908382948	0,6581825614	0,7412623465	0,6356393918	0,099712193	0,1090666056	0,6684827308	0,6189350287	0,1001918713	0,6570723653
16500	0,1516241729	0,6305252835	0,4756887406	0,7015830614	0,4898553146	0,6642475367	0,75	0,654990755	0,0998663604	0,1234580576	0,665535907	0,657106638	0,0999177496	0,6281181475
17000	0,1210423708	0,6938476637	0,4299701825	0,6066509038	0,4628777802	0,6895764798	0,7505139858	0,6442485601	0,1002261639	0,2095497251	0,7201548815	0,7025424838	0,1000548402	0,6661526859
17500	0,1456620097	0,7136615962	0,3993626609	0,6649362594	0,4809056316	0,6370065808	0,5574629903	0,6731599569	0,1001747549	0,1335834861	0,7190241218	0,6932908396	0,0996779005	0,6521724164
18000	0,1539884806	0,7105520144	0,3239103556	0,6475123391	0,4589907974	0,6972245038	0,7188527882	0,74043997	0,0998149812	0,1490542889	0,6672491729	0,7115885417	0,0997806986	0,6941817403
18500	0,1633943319	0,7202662453	0,4030633196	0,6203741841	0,4767745202	0,6591077268	0,7177220285	0,6853926778	0,1003289521	0,1124588549	0,6780427595	0,7158717116	0,0988555352	0,7169339359
19000	0,1575863659	0,6886050552	0,4308953509	0,7193924747	0,4991198117	0,6615542769	0,6818462312	0,6509817019	0,1001747549	0,205078125	0,7252604167	0,7044956088	0,1000205676	0,6992872755
19500	0,1532689035	0,7040501684	0,4216951057	0,6703844592	0,4873496592	0,6650082231	0,7184416056	0,6568924785	0,1009971201	0,2842310965	0,7092927595	0,7196409057	0,0994380514	0,7274533957
20000	0,1937705576	0,6957493871	0,4505293965	0,6944130287	0,5086155925	0,6452919424	0,7429070771	0,7184159122	0,1000719666	0,1205797493	0,734614859	0,7185786664	0,0999863148	0,7192639858
20500	0,1356908083	0,7349146791	0,3357833102	0,7134817019	0,4799676249	0,7149465412	0,7175164521	0,6869346201	0,099609375	0,1437088847	0,7370134344	0,69102934	0,1001576185	0,7336554329
21000	0,1652446687	0,6912263595	0,4019325599	0,7325760685	0,4977449141	0,7228001654	0,7100123465	0,6271587163	0,1000205874	0,2158717215	0,7500342627	0,6704358508	0,0997464458	0,7457510978
21500	0,1864206493	0,768092107	0,4346217141	0,6918431297	0,5202444	0,7560444057	0,75	0,7110659927	0,0999691486	0,1917660236	0,7489720434	0,6991844873	0,0997121731	0,6966488461
22000	0,1423725486	0,6872944124	0,5204050168	0,7347090915	0,5211952673	0,7301809162	0,7963610142	0,6154399738	0,099660784	0,1119962931	0,7335526347	0,6939418912	0,1002946695	0,6878426522
22500	0,1622121632	0,6927682981	0,4688013941	0,7321648821	0,5139866844	0,7292557538	0,7348889709	0,6906352788	0,0992496014	0,1715666354	0,7854303718	0,7060375611	0,1001576185	0,7091214408
23000	0,1324526966	0,7386410423	0,5001027882	0,7260742113	0,5243176846	0,7297697306	0,7648026347	0,7126593292	0,0999691486	0,2417249084	0,775390625	0,7460252196	0,1093407273	0,6835252196
23500	0,1856496632	0,7491262332	0,4755345434	0,7462479472	0,5391395967	0,7549753249	0,7516447306	0,6959035769	0,1001233459	0,287109375	0,7513363461	0,7533237388	0,0992324551	0,7147752196
24000	0,2067742646	0,7361996286	0,3133223653	0,7424701899	0,4996916121	0,7247532785	0,7586348653	0,6596936584	0,0997121632	0,1049033701	0,7140213797	0,7402343651	0,0996779005	0,7379043351
24500	0,1780427694	0,7108603977	0,3683696538	0,7357884496	0,4982653176	0,7136513174	0,7293379903	0,7483809628	0,0998663604	0,1965974569	0,7281044324	0,7352658957	0,099849244	0,7556195259
25000	0,1846217215	0,7164884917	0,3412828967	0,7477127835	0,4975264734	0,7106702328	0,6970600188	0,726254113	0,1002775729	0,1306023896	0,7546258171	0,7721011539	0,100089093	0,7738829503
25500	0,1288034618	0,7060032897	0,5031609833	0,6875000037	0,5063669346	0,7491159499	0,7637746781	0,7251747549	0,1001747549	0,1278268993	0,7446546058	0,7377329965	0,0999862949	0,758908992
26000	0,1557874084	0,7585834712	0,4930869564	0,7557308823	0,5407971796	0,7170847028	0,7046669424	0,7181589305	0,1005859375	0,1408306062	0,7664131025	0,7474986315	0,100466013	0,7392749439
26500	0,1885279715	0,738615334	0,5740388483	0,7538805529	0,5637656767	0,7589638114	0,7428042889	0,7348375805	0,099712193	0,1458676159	0,7537349214	0,7450657934	0,0996436278	0,7313939234
27000	0,1593852639	0,7385125421	0,6768349111	0,7302117608	0,5762361195	0,7639391482	0,7711759806	0,7404913679	0,1002775729	0,1583059132	0,7769668301	0,7373218238	0,100226144	0,7485951235
27500	0,2141242027	0,7613075636	0,6024619713	0,7390008196	0,5792236393	0,7692228585	0,7409539521	0,727539055	0,0999691784	0,1586657166	0,7812157323	0,6984991779	0,0998835166	0,7625411203
28000	0,1916118264	0,7393092029	0,5668945238	0,7708675973	0,5671707876	0,7380139768	0,7985197306	0,7615388557	0,1000205576	0,1361533701	0,796258226	0,7486293912	0,1005002658	0,7764528493
28500	0,1769634187	0,7179790288	0,6026675664	0,7332956418	0,5577264139	0,7527549326	0,7254317403	0,7399773896	0,1002775431	0,1579975188	0,7427357435	0,749143367	0,0997121731	0,7896107435
29000	0,1832853556	0,7368935086	0,6086040214	0,7705335133	0,5748290997	0,7432771385	0,7206003368	0,6906866729	0,1003289521	0,1291118562	0,7739172131	0,7286869486	0,100466013	0,7596970946
29500	0,1915604472	0,7505653761	0,42871093	0,7369962968	0,5269582625	0,7101768106	0,7967721969	0,7612561658	0,1000719368	0,1799444854	0,7718955527	0,7595600337	0,1003289421	0,7451000462
30000	0,1623663604	0,747532893	0,5020045154	0,7347604856	0,5366660636	0,7657483578	0,7330386639	0,7253032476	0,0998663604	0,2502569854	0,7546258221	0,762815242	0,1005345384	0,7514391442
30500	0,2213712931	0,7536749616	0,5228978172	0,7796566598	0,5694001829	0,7734991759	0,7491776347	0,7412880324	0,0998149514	0,3005756736	0,7838541667	0,7752193014	0,1002604167	0,775870343
31000	0,164113909	0,7221936695	0,5681537725	0,756476149	0,552734375	0,7637746662	0,7978001684	0,7370220013	0,0996607542	0,3118318319	0,7625411203	0,7648026347	0,1005687912	0,7805989583
31500	0,1891447306	0,7634919845	0,4680818245	0,7393092103	0,5400069375	0,7462376684	0,7706620097	0,7680150047	0,1001233757	0,3379934132	0,7749451796	0,7716557036	0,0999863148	0,7895764808
32000	0,2026110291	0,7524414063	0,5604440719	0,7342722081	0,5624421788	0,7606702298	0,6795847118	0,7680921033	0,1000719368	0,220805943	0,7829290032	0,7563048253	0,100089093	0,7701480339
32500	0,1976253986	0,7493832223	0,531892471	0,7708162069	0,5624293247	0,7464227021	0,8148643076	0,7602025047	0,1002775431	0,3082339466	0,7707305402	0,7720326185	0,1000890732	0,7729920546
33000	0,1968544424	0,7391807139	0,6196032017	0,7355571538	0,572798878	0,7399259895	0,76953125	0,7589175552	0,1002261639	0,3227282166	0,768057843	0,7847450674	0,1001233657	0,7634662837
33500	0,1644736826	0,7255088352	0,6330695003	0,7703536227	0,5733514102	0,7724300981	0,6684827209	0,7391807139	0,1005345285	0,3774670959	0,759148851	0,7875890881	0,0999520421	0,7954015881
34000	0,2056948841	0,7520302236	0,6737253256	0,7635947764	0,5987613024	0,7481496662	0,7041529715	0,7647769265	0,099660784	0,4149876535	0,7600397517	0,7585663398	0,1002946695	0,7908443014
34500	0,1884251535	0,7306486443	0,6784025505	0,7513106465	0,5871967487	0,7201891482	0,8145559281	0,7160773017	0,099609375	0,1917146444	0,7699081699	0,770387888	0,099986275	0,7688802133
35000	0,1754214764	0,7857216261	0,6802528761	0,7688373774	0,602558339	0,7872327298	0,7487664521	0,7403628752	0,0997635722	0,2827919424	0,7799821844	0,7661389858	0,1002946695	0,7612733046
